,English,,Simplified Chinese,
222310,Mortdale Station,Mortdale,莫底 (Mortdale) 站,莫底 (Mortdale)
222610,Como Station,Como,科莫 (Como) 站,科莫 (Como)
222620,Jannali Station,Jannali,詹纳利 (Jannali) 站,詹纳利 (Jannali)
222710,Gymea Station,Gymea,吉米 (Gymea) 站,吉米 (Gymea)
242110,Paterson Station,Paterson,帕特森 (Paterson) 站,帕特森 (Paterson)
250010,North Wollongong Station,North Wollongong,北卧龙岗 (North Wollongong) 站,北卧龙岗 (North Wollongong)
250510,Lysaghts Station,Port Kembla,莱萨特 (Lysaghts) 站,肯布拉港 (Port Kembla)
250520,Cringila Station,Port Kembla,克日恩吉拉 (Cringila) 站,肯布拉港 (Port Kembla)
250540,Port Kembla Station,Port Kembla,肯布拉港 (Port Kembla) 站,肯布拉港 (Port Kembla)
250810,Helensburgh Station,Helensburgh,海伦斯堡 (Helensburgh) 站,海伦斯堡 (Helensburgh)
250830,Otford Station,Otford,奥特福德 (Otford) 站,奥特福德 (Otford)
251510,Scarborough Station,Scarborough,斯卡伯勒 (Scarborough) 站,斯卡伯勒 (Scarborough)
251520,Wombarra Station,Wombarra,沃姆巴拉 (Wombarra) 站,沃姆巴拉 (Wombarra)
251530,Coledale Station,Coledale,科尔代尔 (Coledale) 站,科尔代尔 (Coledale)
251540,Austinmer Station,Austinmer,奥斯汀莫 (Austinmer) 站,奥斯汀莫 (Austinmer)
251550,Thirroul Station,Thirroul,舌努 (Thirroul) 站,舌努 (Thirroul)
251610,Bulli Station,Bulli,布利 (Bulli) 站,布利 (Bulli)
251710,Woonona Station,Woonona,伍诺纳 (Woonona) 站,伍诺纳 (Woonona)
251810,Bellambi Station,Bellambi,贝拉比 (Bellambi) 站,贝拉比 (Bellambi)
252610,Unanderra Station,Unanderra,乌南德拉 (Unanderra) 站,乌南德拉 (Unanderra)
246421,Yamba Wharf,Yamba,扬巴 (Yamba) 码头,扬巴 (Yamba)
246622,Iluka Wharf,Iluka,伊卢卡 (Iluka) 码头,伊卢卡 (Iluka)
211320,North Ryde Station,North Ryde,北莱德 (North Ryde) 站,北莱德 (North Ryde)
210556,Lovett Wharf,Lovett Bay,洛维特 (Lovett) 码头,洛维特湾 (Lovett Bay)
26041,Canberra Station,Canberra,堪培拉 (Canberra) 站,堪培拉 (Canberra)
257940,Marulan Station,Marulan,马鲁兰 (Marulan) 站,马鲁兰 (Marulan)
250030,Coniston Station,Coniston,科尼斯顿 (Coniston) 站,科尼斯顿 (Coniston)
278620,Bell Station,Bell,贝尔 (Bell) 站,贝尔 (Bell)
242020,Wallarobba Station,Wallarobba,瓦拉罗巴 (Wallarobba) 站,瓦拉罗巴 (Wallarobba)
2250772,Narara Station,Narara,纳拉拉 (Narara) 站,纳拉拉 (Narara)
220366,Arlington Light Rail,Dulwich Hill,阿灵顿 (Arlington) 轻轨,德域山 (Dulwich Hill)
220367,Arlington Light Rail,Dulwich Hill,阿灵顿 (Arlington) 轻轨,德域山 (Dulwich Hill)
220322,Arlington Light Rail,Dulwich Hill,阿灵顿 (Arlington) 轻轨,德域山 (Dulwich Hill)
2000452,Bridge Street Light Rail,Sydney,桥街 (Bridge Street) 轻轨,悉尼 (Sydney)
